Gene identifier	baseMean	log2FoldChange	lfcSE	stat	p-value	p-adjusted
MSTRG.25508	849.9738	-14.1652	1.1895	2’501.5439	0.0000E+00	0.0000E+00
MSTRG.20167	2’543.4078	-5.6762	0.1492	2’790.9808	0.0000E+00	0.0000E+00
MSTRG.8443	1’943.6559	-0.5188	0.7892	3’538.3587	0.0000E+00	0.0000E+00
MSTRG.17365	2’763.0217	11.2491	0.4557	2’929.5891	0.0000E+00	0.0000E+00
MSTRG.21707	2’106.8272	6.8051	0.1918	1’619.5731	0.0000E+00	0.0000E+00
MSTRG.23144	791.1146	-13.8717	1.1895	2’047.2693	0.0000E+00	0.0000E+00
MSTRG.17643	360.4366	0.8562	1.6713	1’825.3840	0.0000E+00	0.0000E+00
MSTRG.7749	1’142.6688	13.1201	1.1849	3’154.6331	0.0000E+00	0.0000E+00
MSTRG.10272	2’341.7037	-1.8333	0.1329	1’506.2699	0.0000E+00	0.0000E+00
MSTRG.21037	848.9873	-5.0726	0.8595	2’496.7699	0.0000E+00	0.0000E+00
MSTRG.24539	2’170.5631	-12.9855	1.1845	1’842.5300	0.0000E+00	0.0000E+00
MSTRG.4158	644.4835	0.0247	0.6312	2’183.1405	0.0000E+00	0.0000E+00
MSTRG.9368	4’110.4708	4.8160	0.1685	1’801.0679	0.0000E+00	0.0000E+00
MSTRG.25967	5’217.3010	-0.8295	0.1142	1’718.0390	0.0000E+00	0.0000E+00
MSTRG.24950	424.3481	10.6638	0.8483	2’493.9814	0.0000E+00	0.0000E+00
MSTRG.3064	760.0362	-13.0931	1.1946	2’306.5611	0.0000E+00	0.0000E+00
MSTRG.26750	247.5464	-11.4734	1.1911	1’907.0306	0.0000E+00	0.0000E+00
MSTRG.19740	574.5075	-1.4879	0.3603	1’772.1596	0.0000E+00	0.0000E+00
MSTRG.13994	2’014.9257	-9.1809	0.4347	1’719.0545	0.0000E+00	0.0000E+00
MSTRG.23045	2’075.4151	-7.0634	0.2031	1’641.5955	0.0000E+00	0.0000E+00
MSTRG.1361	398.0548	10.5565	0.8591	1’543.4007	0.0000E+00	0.0000E+00
MSTRG.12056	2’503.9899	0.4424	0.1228	1’783.4821	0.0000E+00	0.0000E+00
MSTRG.1849	452.5155	-0.1029	0.7364	1’713.7733	0.0000E+00	0.0000E+00
MSTRG.28019	598.1541	-13.7099	1.2019	1’665.2458	0.0000E+00	0.0000E+00
MSTRG.19299	950.4935	-9.2520	0.3799	2’193.5756	0.0000E+00	0.0000E+00
MSTRG.10917	244.5539	2.1134	1.3566	1’565.9186	0.0000E+00	0.0000E+00
MSTRG.24331	403.3383	3.8373	0.1726	2’041.0802	0.0000E+00	0.0000E+00
MSTRG.7486	384.6863	11.3672	1.1899	1’489.6781	1.0000E-322	8.8780E-320
MSTRG.13493	849.3387	-7.6503	0.2799	1’473.7154	2.9731E-319	2.4564E-316
MSTRG.4829	49’487.8178	2.2123	0.0807	1’461.5531	1.2955E-316	1.0346E-313
MSTRG.5661	4’118.9688	-6.3630	0.1609	1’459.9063	2.9496E-316	2.2798E-313
MSTRG.1859	2’021.1632	14.2899	1.1880	1’447.7661	1.2711E-313	9.5174E-311
MSTRG.6264	4’156.3229	-3.4610	0.1281	1’437.0775	2.6520E-311	1.9255E-308
MSTRG.4641	1’626.7895	8.8845	0.4773	1’416.9355	6.2270E-307	4.3882E-304
ENSG00000164659.15	184.3004	10.9421	1.1953	1’412.8433	4.8114E-306	3.2937E-303
MSTRG.23124	1’539.6461	-5.3083	0.1577	1’396.0371	2.1336E-302	1.4200E-299
MSTRG.1805	459.5182	-2.8425	0.2051	1’385.3739	4.3945E-300	2.8457E-297
MSTRG.2420	3’794.7249	-4.7293	0.3166	1’337.1283	1.2931E-289	8.1533E-287
MSTRG.6395	684.4444	9.7203	0.6703	1’330.0180	4.5130E-288	2.7726E-285
ENSG00000172817.4	308.1984	3.9826	0.2069	1’286.0193	1.5898E-278	9.5232E-276
MSTRG.4734	2’955.7462	-6.1702	0.1612	1’247.5647	3.5082E-270	2.0501E-267
MSTRG.28233	710.9491	-10.7681	0.7422	1’222.7279	8.5894E-265	4.9000E-262
MSTRG.16545	82’966.8402	9.9452	0.3012	1’220.7383	2.3209E-264	1.2932E-261
MSTRG.28195	1’026.5652	-8.6653	0.3794	1’211.3803	2.4892E-262	1.3555E-259
MSTRG.19589	1’372.3022	4.2804	0.1325	1’183.2409	3.1721E-256	1.6890E-253
MSTRG.1879	321.0071	1.7855	0.1561	1’153.0953	1.1010E-249	5.7348E-247
MSTRG.23098	786.4834	-12.1519	1.1867	1’130.2803	9.8101E-245	5.0010E-242
MSTRG.24084	356.1530	6.2190	1.2002	1’107.8665	7.1520E-240	3.5700E-237
MSTRG.15007	891.1246	-6.1849	0.2582	1’105.3618	2.4993E-239	1.2221E-236
MSTRG.24222	973.8061	-3.4578	0.2106	1’104.3550	4.1329E-239	1.9805E-236
MSTRG.20702	1’205.6938	-6.3789	0.2198	1’103.7544	5.5788E-239	2.5941E-236
MSTRG.11712	294.8415	4.4534	0.2100	1’103.7362	5.6299E-239	2.5941E-236
MSTRG.12434	1’414.1423	-0.2805	0.1659	1’093.5272	9.2330E-237	4.1740E-234
MSTRG.7426	166.5744	9.7055	1.1895	1’077.4235	2.8773E-233	1.2767E-230
MSTRG.10596	9’729.4129	3.1372	0.1514	1’073.4802	2.0629E-232	8.9869E-230
ENSG00000146530.14	177.8477	-0.1056	1.6741	1’070.2712	1.0249E-231	4.3849E-229
MSTRG.14955	686.9810	4.1903	0.1824	1’069.5862	1.4430E-231	6.0656E-229
MSTRG.10826	591.8783	7.7572	1.2006	1’069.3310	1.6392E-231	6.7715E-229
MSTRG.6984	1’084.9028	11.2498	0.7463	1’061.7675	7.1692E-230	2.9114E-227
MSTRG.12931	2’708.3679	3.7868	0.1379	1’057.3565	6.4924E-229	2.5926E-226
MSTRG.10718	531.4426	8.2349	0.4098	1’055.7819	1.4257E-228	5.5998E-226
MSTRG.20474	199.7858	4.4800	0.4584	1’052.6776	6.7214E-228	2.5975E-225
MSTRG.18255	2’179.8920	3.1932	0.1200	1’050.7411	1.7684E-227	6.7254E-225
MSTRG.27008	9’482.2868	-0.8609	0.0813	1’047.2249	1.0242E-226	3.8343E-224
MSTRG.7522	223.0687	1.0365	0.7967	1’045.6305	2.2713E-226	8.3723E-224
MSTRG.5430	728.4103	9.9587	1.1930	1’039.9371	3.9030E-225	1.4169E-222
MSTRG.3884	1’892.2965	-1.6581	0.2756	1’033.2377	1.1085E-223	3.9643E-221
MSTRG.2903	187.3641	0.5363	0.1893	1’024.1043	1.0620E-221	3.7419E-219
MSTRG.26151	10’923.6093	4.5177	0.1455	1’020.8663	5.3524E-221	1.8586E-218
ENSG00000138675.16	297.8334	-10.7426	1.1873	1’019.2695	1.1884E-220	4.0676E-218
MSTRG.5800	237.0789	9.0217	0.6843	1’019.1258	1.2768E-220	4.3088E-218
MSTRG.1072	232.1850	3.7520	1.2965	1’016.7032	4.2822E-220	1.4250E-217
ENSG00000204147.11	187.8509	-0.1056	1.6752	1’016.6235	4.4561E-220	1.4626E-217
MSTRG.14217	385.0345	-9.6132	1.1861	1’007.0632	5.2834E-218	1.7107E-215
MSTRG.4639	112.3781	-11.2976	1.2012	1’001.7859	7.3742E-217	2.3558E-214
MSTRG.27925	119.7624	11.2799	1.2008	999.5216	2.2851E-216	7.2042E-214
MSTRG.13317	1’927.2328	7.4176	0.4772	983.7414	6.0547E-213	1.8840E-210
ENSG00000237807.4	129.9381	6.5152	0.4209	972.2848	1.8506E-210	5.6848E-208
MSTRG.16187	129.0016	-10.5305	1.2029	968.8838	1.0118E-209	3.0686E-207
MSTRG.26138	384.8811	-7.9409	1.0331	952.0748	4.4805E-206	1.3419E-203
ENSG00000029534.21	239.2612	8.4586	0.5804	949.4900	1.6293E-205	4.8196E-203
MSTRG.23769	12’924.9708	1.6519	0.1371	940.9257	1.1742E-203	3.4311E-201
MSTRG.8846	441.1350	-12.5260	1.2006	916.6210	2.1968E-198	6.3417E-196
MSTRG.2409	629.9346	6.1061	0.3152	914.9007	5.1871E-198	1.4796E-195
ENSG00000095777.17	323.4356	-11.5883	1.1854	901.3228	4.5719E-195	1.2887E-192
MSTRG.12374	18’209.2947	2.7004	0.1578	898.7663	1.6392E-194	4.5669E-192
MSTRG.6957	1’149.0823	0.2434	0.2605	894.3921	1.4569E-193	4.0122E-191
ENSG00000069431.11	95.9854	-10.1073	1.2029	891.9213	5.0043E-193	1.3625E-190
MSTRG.18007	561.6767	-1.3806	0.1698	885.5223	1.2227E-191	3.2916E-189
ENSG00000151892.14	149.8627	-11.7014	1.2068	882.2393	6.3009E-191	1.6774E-188
MSTRG.20997	4’463.7128	-14.9171	1.2092	879.5024	2.4719E-190	6.5084E-188
MSTRG.19966	1’633.1316	1.6728	0.1334	878.8833	3.3676E-190	8.7704E-188
MSTRG.3346	806.1135	0.1232	0.1436	874.2363	3.4296E-189	8.8359E-187
MSTRG.21633	6’279.2339	-8.0863	0.2561	871.9141	1.0938E-188	2.7880E-186
MSTRG.18145	611.3903	7.4938	0.4816	870.0171	2.8209E-188	7.1145E-186
ENSG00000139915.21	133.1378	-2.7268	0.2325	868.5097	5.9889E-188	1.4947E-185
MSTRG.19364	2’545.8535	3.3223	0.1315	865.2523	3.0470E-187	7.5263E-185
MSTRG.3450	107.6143	-5.6172	1.2145	861.3720	2.1159E-186	5.1731E-184
MSTRG.24620	230.1142	-5.2851	1.2379	861.1927	2.3141E-186	5.6006E-184
MSTRG.14872	831.2957	-6.3105	0.4029	857.1351	1.7557E-185	4.2066E-183
MSTRG.2813	651.9041	6.8653	0.3250	846.8581	2.9749E-183	7.0572E-181
MSTRG.7436	612.3886	-1.0828	0.1733	845.6239	5.5098E-183	1.2943E-180
ENSG00000174652.19	339.6790	-11.0127	1.1869	835.8623	7.2167E-181	1.6788E-178
MSTRG.2423	4’363.0521	0.0821	0.1792	835.4729	8.7659E-181	2.0195E-178
MSTRG.23589	695.3513	3.0409	0.1918	829.6267	1.6246E-179	3.7073E-177
MSTRG.6946	537.7326	4.7969	0.2479	828.7492	2.5181E-179	5.6918E-177
MSTRG.19468	683.3028	-7.9093	0.5716	828.4526	2.9202E-179	6.5390E-177
ENSG00000181523.13	423.5974	1.8958	0.3102	827.0280	5.9482E-179	1.3196E-176
MSTRG.16221	200.1102	5.1597	0.2699	823.4133	3.6170E-178	7.9508E-176
MSTRG.11516	308.7608	6.5065	0.3635	817.6627	6.3909E-177	1.3921E-174
MSTRG.21881	507.7243	-2.7168	0.2047	813.3054	5.6310E-176	1.2155E-173
MSTRG.13963	312.8879	7.0117	0.5618	810.6034	2.1706E-175	4.6436E-173
MSTRG.4945	170.3576	-7.8272	1.0451	808.3849	6.5724E-175	1.3936E-172
MSTRG.13828	423.2136	-10.6211	1.1908	805.2757	3.1050E-174	6.5259E-172
MSTRG.14735	2’264.4441	5.4429	0.2003	804.4510	4.6872E-174	9.7657E-172
MSTRG.22646	1’189.7147	1.4552	0.1666	799.2568	6.2720E-173	1.2955E-170
MSTRG.17364	185.4407	11.8121	1.2016	798.2127	1.0565E-172	2.1635E-170
MSTRG.2188	509.1853	-7.3834	0.4253	798.0503	1.1457E-172	2.3264E-170
MSTRG.12317	244.2703	0.3458	0.2017	797.3766	1.6039E-172	3.2294E-170
MSTRG.18384	467.3035	-11.8402	1.1935	796.6347	2.3232E-172	4.6386E-170
MSTRG.12759	246.0294	0.9911	0.2564	788.0043	1.7290E-170	3.4237E-168
MSTRG.6743	157.0924	6.0972	0.3679	783.4963	1.6423E-169	3.2254E-167
ENSG00000178695.6	98.5815	-1.0673	1.6855	776.0808	6.6626E-168	1.2979E-165
MSTRG.27497	1’193.9395	-3.0221	0.1562	762.0527	7.3426E-165	1.4188E-162
MSTRG.22604	1’027.5368	-0.1357	0.1965	758.6339	4.0483E-164	7.7598E-162
MSTRG.25808	390.4180	-9.5513	0.8498	752.8343	7.3278E-163	1.3934E-160
MSTRG.7090	1’076.6385	-2.5341	0.1164	751.6923	1.2961E-162	2.4452E-160
MSTRG.21241	346.2484	5.7507	0.4164	743.5292	7.6357E-161	1.4293E-158
MSTRG.24227	236.7014	-0.8655	0.3633	741.8139	1.7982E-160	3.3398E-158
MSTRG.5978	294.6516	-0.2706	0.2679	736.1228	3.0830E-159	5.6822E-157
MSTRG.4827	9’352.9161	1.3681	0.0877	735.5212	4.1632E-159	7.6146E-157
MSTRG.23366	366.5138	4.2903	0.2805	728.4050	1.4541E-157	2.6394E-155
MSTRG.6014	451.8183	-11.5863	1.2160	709.5952	1.7434E-153	3.1408E-151
MSTRG.3601	623.8577	-2.9159	0.2897	707.5688	4.7955E-153	8.5746E-151
MSTRG.1814	8’808.5160	-1.1792	0.1577	706.5597	7.9368E-153	1.4086E-150
MSTRG.8715	760.5261	0.9058	0.1109	704.2625	2.4990E-152	4.4027E-150
MSTRG.325	668.2256	0.6458	0.2242	695.5289	1.9567E-150	3.4222E-148
MSTRG.23022	211.3866	5.5200	0.2865	692.9953	6.9330E-150	1.2037E-147
MSTRG.25384	8’054.4888	0.3329	0.0961	690.4705	2.4455E-149	4.2154E-147
MSTRG.13148	502.6618	-0.8562	0.1426	689.7943	3.4276E-149	5.8662E-147
MSTRG.4566	353.9727	4.3303	0.2386	679.7683	5.1162E-147	8.6939E-145
MSTRG.14371	175.0264	-7.5483	1.1932	670.2891	5.8116E-145	9.8060E-143
MSTRG.3293	1’375.0117	-1.8628	0.1587	669.8156	7.3613E-145	1.2334E-142
MSTRG.11776	580.9039	-5.4379	0.2394	665.1336	7.6230E-144	1.2684E-141
MSTRG.4717	725.4293	-0.9988	0.1388	662.3943	2.9926E-143	4.9451E-141
MSTRG.5880	177.6783	6.5179	0.3998	661.7190	4.1924E-143	6.8802E-141
MSTRG.20881	407.1288	4.3518	0.1866	658.3547	2.2487E-142	3.6651E-140
MSTRG.15473	84.6459	-5.9026	0.4317	656.0833	6.9890E-142	1.1315E-139
MSTRG.24992	7’256.9895	3.1969	0.1400	652.6306	3.9175E-141	6.2996E-139
MSTRG.2875	921.5713	-0.8827	0.1376	651.2874	7.6602E-141	1.2236E-138
ENSG00000214049.8	77.3580	-6.5574	0.5300	649.1754	2.1986E-140	3.4886E-138
MSTRG.5137	4’689.5748	3.3291	0.2055	648.2764	3.4440E-140	5.4288E-138
MSTRG.9017	741.7663	-4.2405	0.2995	646.7595	7.3442E-140	1.1501E-137
MSTRG.17545	99.4184	0.0281	0.6819	642.5256	6.0800E-139	9.4595E-137
MSTRG.19709	123.5306	0.1556	0.8972	642.3996	6.4746E-139	1.0009E-136
ENSG00000143772.9	99.5614	2.3351	1.4645	641.9790	7.9875E-139	1.2268E-136
ENSG00000133687.16	387.6257	1.6945	0.1988	641.3530	1.0918E-138	1.6661E-136
ENSG00000124613.8	177.4873	-5.1676	1.2215	641.1198	1.2266E-138	1.8600E-136
MSTRG.16132	305.3043	-3.6676	0.3263	634.9586	2.6576E-137	4.0048E-135
MSTRG.27769	889.5789	-6.4879	0.7004	633.7086	4.9602E-137	7.4279E-135
MSTRG.23822	3’004.0902	2.3966	0.1405	632.7448	8.0251E-137	1.1943E-134
MSTRG.9711	326.3984	-1.5031	0.2966	632.1951	1.0559E-136	1.5617E-134
MSTRG.23517	3’208.6173	0.3188	0.1451	630.7471	2.1755E-136	3.1978E-134
MSTRG.18153	382.3341	-1.3912	0.2129	627.4938	1.1038E-135	1.6126E-133
MSTRG.7493	749.3421	6.0551	0.2565	624.8967	4.0359E-135	5.8607E-133
ENSG00000180626.10	98.9254	-8.9789	1.2043	617.2236	1.8598E-133	2.6843E-131
MSTRG.19236	439.1661	-2.5426	0.2335	613.8717	9.9114E-133	1.4220E-130
MSTRG.21838	186.6343	-11.7372	1.2031	611.6486	3.0067E-132	4.2882E-130
MSTRG.7824	463.6019	2.8878	0.2432	610.2143	6.1523E-132	8.7225E-130
ENSG00000188321.13	267.3843	10.6949	1.1899	608.2805	1.6154E-131	2.2768E-129
MSTRG.28293	60.3060	-10.3998	1.2131	606.6012	3.7353E-131	5.2338E-129
MSTRG.25035	626.4686	6.7171	0.3348	604.8686	8.8705E-131	1.2357E-128
MSTRG.27064	4’620.4157	5.2438	0.2080	602.3655	3.0945E-130	4.2858E-128
ENSG00000288029.1	70.4728	10.5192	1.2169	601.7458	4.2163E-130	5.8058E-128
MSTRG.7175	417.4150	7.4142	0.5135	596.1523	6.8789E-129	9.4182E-127
MSTRG.5803	102.5075	6.9904	0.5570	594.8980	1.2866E-128	1.7515E-126
ENSG00000198774.5	152.3496	-9.3989	1.1986	594.4434	1.6143E-128	2.1852E-126
ENSG00000135314.12	93.1826	-1.0673	1.6797	587.0677	6.4105E-127	8.6290E-125
MSTRG.17082	821.7557	6.6334	0.3391	585.8898	1.1541E-126	1.5448E-124
MSTRG.11271	65.3034	7.2090	0.7014	585.7226	1.2545E-126	1.6699E-124
MSTRG.18998	157.7406	6.9054	1.2077	582.1757	7.3683E-126	9.7538E-124
MSTRG.5801	77.8512	9.6427	1.2084	582.1392	7.5038E-126	9.8786E-124
MSTRG.9961	321.1887	6.0131	0.3150	580.2327	1.9433E-125	2.5444E-123
ENSG00000197603.15	355.6759	-7.4610	0.4892	579.9499	2.2380E-125	2.9142E-123
MSTRG.2780	255.8251	3.9383	0.2626	577.6618	7.0123E-125	9.0819E-123
MSTRG.3200	201.0798	4.8887	0.2704	574.8383	2.8703E-124	3.6974E-122
MSTRG.5578	4’953.2487	-2.4669	0.1104	569.0243	5.2265E-123	6.6966E-121
MSTRG.20548	320.5135	-1.2465	0.6150	567.4332	1.1564E-122	1.4738E-120
ENSG00000149256.16	189.9279	5.2954	0.5866	566.5881	1.7632E-122	2.2352E-120
MSTRG.16733	4’261.0818	1.2615	0.0990	566.0153	2.3468E-122	2.9594E-120
MSTRG.28213	2’644.7620	-2.7261	0.1323	563.0806	1.0153E-121	1.2736E-119
MSTRG.17821	317.7523	0.4538	0.1561	561.5251	2.2069E-121	2.7540E-119
MSTRG.2429	1’973.2448	-5.0824	0.2369	557.7771	1.4328E-120	1.7788E-118
MSTRG.20156	1’125.0849	3.4314	0.1580	550.9662	4.2903E-119	5.2987E-117
MSTRG.2682	2’428.2427	-10.8023	0.5935	549.7249	7.9720E-119	9.7953E-117
MSTRG.16582	742.7347	-9.0982	0.6063	549.1463	1.0641E-118	1.3008E-116
MSTRG.785	1’146.8414	-3.3104	0.2548	547.4360	2.4985E-118	3.0387E-116
ENSG00000081665.14	215.0862	-0.7023	0.2414	546.6109	3.7716E-118	4.5640E-116
MSTRG.25207	1’526.5222	2.3733	0.2650	546.0620	4.9603E-118	5.9723E-116
MSTRG.4009	1’003.3637	3.3534	0.2484	537.7304	3.1722E-116	3.8003E-114
ENSG00000225760.2	200.1445	0.1109	0.2583	536.8864	4.8339E-116	5.7622E-114
MSTRG.11623	324.0532	5.2472	0.4161	535.6117	9.1321E-116	1.0832E-113
MSTRG.16674	496.2267	3.3244	0.2380	534.2283	1.8214E-115	2.1498E-113
MSTRG.25067	6’683.0951	1.9323	0.2090	532.1627	5.1063E-115	5.9974E-113
MSTRG.17429	644.6158	-5.5966	0.2806	531.6758	6.5111E-115	7.6100E-113
MSTRG.24316	1’112.9353	3.2720	0.1674	527.3400	5.6673E-114	6.5916E-112
MSTRG.6577	898.6029	0.6812	0.1121	525.2111	1.6398E-113	1.8981E-111
MSTRG.22027	1’114.9791	4.5183	0.1867	522.9376	5.0997E-113	5.8744E-111
MSTRG.7963	260.9767	-2.8670	0.2241	521.8119	8.9438E-113	1.0253E-110
MSTRG.25961	2’569.5402	-14.7209	1.2528	515.9133	1.6979E-111	1.9372E-109
MSTRG.13142	1’897.1756	1.9220	0.0941	512.0173	1.1865E-110	1.3473E-108
MSTRG.14722	397.0180	-4.9064	0.2604	508.6292	6.4353E-110	7.2732E-108
MSTRG.20523	1’347.9381	-2.7100	0.1688	506.5759	1.7930E-109	2.0169E-107
MSTRG.3296	435.1500	2.0992	0.1802	505.3287	3.3408E-109	3.7405E-107
ENSG00000184731.6	74.2782	-10.6997	1.2313	503.2749	9.3099E-109	1.0375E-106
MSTRG.12163	5’039.8443	0.9103	0.1378	502.5436	1.3410E-108	1.4876E-106
MSTRG.25361	1’923.9872	-3.3922	0.1473	498.0878	1.2390E-107	1.3681E-105
MSTRG.13241	264.5939	9.7145	1.0461	497.8456	1.3982E-107	1.5367E-105
MSTRG.19931	479.2785	6.4666	0.3264	497.7547	1.4630E-107	1.6006E-105
MSTRG.8396	503.1812	-0.2760	0.1487	497.4572	1.6972E-107	1.8484E-105
MSTRG.25710	414.5287	7.2554	0.3889	496.3408	2.9625E-107	3.2119E-105
MSTRG.11850	1’044.0605	3.3286	0.1785	495.2028	5.2273E-107	5.6417E-105
MSTRG.13316	175.6084	7.0655	1.2142	489.9549	7.1704E-106	7.7042E-104
MSTRG.11504	1’509.3383	1.9677	0.1703	489.8295	7.6334E-106	8.1650E-104
MSTRG.21295	7’758.3238	-4.7934	0.1872	487.9870	1.9142E-105	2.0384E-103
MSTRG.28106	1’055.7976	-1.4269	0.1844	486.9057	3.2834E-105	3.4810E-103
MSTRG.14909	88.9874	-4.7095	0.3517	485.5281	6.5290E-105	6.8914E-103
ENSG00000153956.16	213.5580	11.0852	1.1980	485.3521	7.1285E-105	7.4912E-103
MSTRG.23125	3’628.4122	-5.1399	0.2225	482.0514	3.7004E-104	3.8717E-102
MSTRG.21140	16’124.0618	2.0834	0.1847	481.4612	4.9676E-104	5.1749E-102
ENSG00000169129.15	254.7676	4.2936	0.2470	479.7258	1.1809E-103	1.2249E-101
MSTRG.7854	1’511.5717	3.7006	0.1805	478.8822	1.7989E-103	1.8578E-101
MSTRG.27252	1’739.8826	0.3546	0.1815	478.3003	2.4050E-103	2.4731E-101
MSTRG.11799	117.5570	5.4234	0.5532	477.0689	4.4458E-103	4.5522E-101
ENSG00000038295.8	494.7375	-4.1066	0.2370	472.4668	4.4176E-102	4.5041E-100
MSTRG.27093	672.8561	-4.1053	0.2840	472.1204	5.2510E-102	5.3311E-100
MSTRG.25898	58.4125	-10.3476	1.2264	471.3046	7.8888E-102	7.9753E-100
MSTRG.18035	17’751.0174	-1.9625	0.1319	468.7422	2.8331E-101	2.8521E-99
MSTRG.21708	295.7037	6.0885	0.3517	468.6655	2.9435E-101	2.9509E-99
MSTRG.20634	44.5678	-0.1055	1.6960	466.9049	7.0857E-101	7.0738E-99
MSTRG.24176	5’537.2879	-0.5972	0.0891	462.9515	5.0933E-100	5.0637E-98
MSTRG.18030	10’463.2519	-1.5551	0.1083	460.7946	1.4940E-99	1.4792E-97
ENSG00000198482.14	49.8247	-0.1055	1.6994	460.3302	1.8835E-99	1.8572E-97
MSTRG.18806	164.2853	10.6496	1.2188	458.7072	4.2330E-99	4.1566E-97
MSTRG.24547	531.5217	-2.8632	0.2897	452.3163	1.0266E-97	1.0039E-95
MSTRG.22483	150.3218	3.5607	0.2653	450.4023	2.6674E-97	2.5980E-95
MSTRG.22868	509.9060	8.6344	1.2241	450.0519	3.1769E-97	3.0817E-95
ENSG00000147642.17	70.5810	-2.2440	0.7777	448.4561	7.0431E-97	6.8045E-95
MSTRG.9312	1’495.8777	-4.7770	0.2660	448.2991	7.6168E-97	7.3293E-95
MSTRG.2799	2’300.3886	1.1531	0.1230	447.7059	1.0240E-96	9.8142E-95
ENSG00000196646.12	184.0657	-10.1172	1.1947	446.4116	1.9531E-96	1.8644E-94
MSTRG.15117	495.3130	5.0858	0.2481	443.2947	9.2477E-96	8.7926E-94
MSTRG.10429	233.0242	-0.4427	0.3466	442.8240	1.1696E-95	1.1076E-93
MSTRG.25208	1’038.9292	2.8344	0.2526	442.7601	1.2075E-95	1.1390E-93
MSTRG.4837	593.3422	2.5329	0.1572	441.6647	2.0854E-95	1.9594E-93
MSTRG.14123	2’118.3015	2.0788	0.2068	440.7711	3.2569E-95	3.0483E-93
ENSG00000149269.10	463.4032	-6.8931	0.4035	440.4625	3.7990E-95	3.5418E-93
MSTRG.21978	1’541.7356	0.1961	0.1058	436.3498	2.9559E-94	2.7451E-92
ENSG00000167637.18	250.2613	-11.4724	1.2060	436.2889	3.0471E-94	2.8188E-92
MSTRG.14385	276.9870	3.5501	0.2137	435.3220	4.9358E-94	4.5485E-92
MSTRG.22533	781.5643	5.4844	0.3066	434.4918	7.4684E-94	6.8561E-92
MSTRG.27953	2’886.1949	2.0001	0.1625	434.2565	8.3985E-94	7.6804E-92
ENSG00000188511.12	73.4145	10.5035	1.2245	432.4820	2.0354E-93	1.8543E-91
MSTRG.4835	13’446.4859	0.8327	0.0721	432.4670	2.0507E-93	1.8612E-91
MSTRG.25186	3’025.6013	-1.2377	0.1647	431.7913	2.8727E-93	2.5973E-91
MSTRG.25574	1’175.2198	2.9144	0.1488	431.1485	3.9588E-93	3.5659E-91
MSTRG.3013	5’921.9713	1.7251	0.1420	428.3493	1.5995E-92	1.4353E-90
MSTRG.15987	54.2845	9.1508	1.2229	427.7989	2.1049E-92	1.8818E-90
MSTRG.12161	4’522.5774	1.4381	0.0835	427.2378	2.7847E-92	2.4804E-90
MSTRG.1739	42’493.1148	1.0108	0.1060	425.6922	6.0204E-92	5.3425E-90
MSTRG.27587	74.5056	-6.3525	0.5521	425.5529	6.4535E-92	5.7058E-90
MSTRG.21379	4’630.3819	-1.2260	0.1820	423.0421	2.2581E-91	1.9891E-89
MSTRG.6174	373.2254	-11.4266	1.2037	422.9195	2.4004E-91	2.1068E-89
MSTRG.20986	5’049.3764	2.1363	0.1321	422.5867	2.8339E-91	2.4781E-89
MSTRG.3470	219.4924	3.7629	0.2322	422.1258	3.5664E-91	3.1073E-89
MSTRG.10427	676.6688	0.6721	0.2127	421.9805	3.8345E-91	3.3288E-89
MSTRG.22581	305.9953	2.6158	0.1760	419.4306	1.3681E-90	1.1834E-88
MSTRG.23608	2’638.2094	-3.2348	0.1709	418.9704	1.7211E-90	1.4834E-88
MSTRG.23189	1’660.0784	-4.0814	0.2403	418.3143	2.3874E-90	2.0502E-88
ENSG00000175899.15	79.0770	-5.7808	1.2510	418.0196	2.7655E-90	2.3665E-88
MSTRG.19178	154.4363	-3.2025	0.3708	417.3735	3.8171E-90	3.2547E-88
MSTRG.21042	261.1768	-1.5033	0.2063	415.6656	8.9476E-90	7.6023E-88
MSTRG.23445	608.7589	1.3796	0.1639	414.8800	1.3240E-89	1.1210E-87
ENSG00000267014.6	60.7120	6.7932	0.6622	413.7673	2.3064E-89	1.9459E-87
MSTRG.25158	3’818.7736	0.7856	0.1030	412.8296	3.6819E-89	3.0954E-87
MSTRG.11518	99.7278	-2.6125	0.9383	412.1611	5.1389E-89	4.3052E-87
MSTRG.15538	279.6445	-3.0875	0.2036	410.2941	1.3041E-88	1.0887E-86
ENSG00000204442.4	233.5289	-4.0692	0.2712	409.3496	2.0889E-88	1.7378E-86
ENSG00000073464.13	186.9032	9.4626	1.1947	409.1796	2.2737E-88	1.8851E-86
MSTRG.8454	15’728.8365	0.9916	0.1151	407.6185	4.9533E-88	4.0924E-86
MSTRG.22331	667.6267	2.2856	0.2043	405.1217	1.7208E-87	1.4169E-85
MSTRG.22439	444.2062	-1.0360	0.2421	398.8784	3.8734E-86	3.1783E-84
MSTRG.21767	302.5546	-7.5013	0.5589	398.5630	4.5333E-86	3.7071E-84
MSTRG.25217	408.6647	1.5120	0.1459	398.5496	4.5636E-86	3.7192E-84
MSTRG.2812	457.4328	1.0258	0.1899	396.9634	1.0067E-85	8.1764E-84
MSTRG.4822	7’581.2802	1.6007	0.1268	396.5198	1.2560E-85	1.0167E-83
ENSG00000137642.13	92.3383	5.4912	0.4235	394.9388	2.7634E-85	2.2293E-83
